Time:512Hz,Epoch,Electrode,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma,Event Id,Event Date,Event Duration
33.03515625,528,80,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.03710938,528,-20,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.0390625,528,-72,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.04101563,528,-44,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.04296875,528,-17,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.04492188,528,-8,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.046875,528,0,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.04882813,528,39,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.05078125,528,89,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.05273438,528,69,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.0546875,528,26,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.05664063,528,36,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.05859375,528,56,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.06054688,528,33,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.0625,529,-2,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.06445313,529,-12,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.06640625,529,10,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.06835938,529,43,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.0703125,529,28,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.07226563,529,16,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.07421875,529,12,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.07617188,529,12,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.078125,529,21,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.08007813,529,8,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.08203125,529,-33,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.08398438,529,-51,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.0859375,529,-24,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.08789063,529,-8,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.08984375,529,-9,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.09179688,529,22,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
